MeetID,Name,Sex,Equipment,Age,BodyweightKg,WeightClassKg,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Place,Wilks
0,Angie Belk Terry,F,Wraps,47.0,59.6,60,47.63,20.41,70.31,138.35,1,155.05
0,Dawn Bogart,F,Single-ply,42.0,58.51,60,142.88,95.25,163.29,401.42,1,456.38
0,Dawn Bogart,F,Single-ply,42.0,58.51,60,142.88,95.25,163.29,401.42,1,456.38
0,Dawn Bogart,F,Raw,42.0,58.51,60,113.45228802389946,95.25,133.87771799783457,95.25,1,108.29
0,Destiny Dula,F,Raw,18.0,63.68,67.5,113.45228802389946,31.75,90.72,122.47,1,130.47
0,Courtney Norris,F,Wraps,28.0,62.41,67.5,170.1,77.11,145.15,392.36,1,424.4
0,Maureen Clary,F,Raw,60.0,67.31,67.5,124.74,95.25,163.29,383.28,1,391.98
0,Maureen Clary,F,Raw,60.0,67.31,67.5,124.74,95.25,163.29,383.28,1,391.98
0,Priscilla Sweat Pardue,F,Wraps,52.0,65.95,67.5,120.2,54.43,108.86,283.49,1,294.25
0,Priscilla Sweat Pardue,F,Raw,52.0,65.95,67.5,113.45228802389946,65.39300045221586,108.86,108.86,1,112.99
0,Kayce Hoover,F,Wraps,24.0,65.5,67.5,138.35,65.77,136.08,340.2,1,354.89
0,Cindy Meeker,F,Wraps,56.0,71.21,75,120.2,43.09,129.27,292.56,1,287.67
0,Cindy Meeker,F,Wraps,56.0,71.21,75,120.2,43.09,129.27,292.56,1,287.67
0,Candice Pardue Maness,F,Wraps,54.0,70.58,75,102.06,74.84,106.59,283.49,1,280.44
0,Danielle Ortiz,F,Raw,17.0,69.31,75,81.65,49.9,115.67,247.22,1,247.64
0,Jessica Jenkins,F,Multi-ply,32.0,80.56,82.5,229.06,161.03,210.92,601.01,1,547.81
0,Jessica Wissmann,F,Wraps,25.0,77.93,82.5,142.88,68.04,136.08,347.0,1,322.3
0,Emma Love,F,Raw,18.0,77.93,82.5,86.18,52.16,83.91,222.25,1,206.43
0,Kelly Benson,F,Raw,22.0,88.72,90,102.06,77.11,120.2,299.37,1,260.25
0,Cathy Cranford,F,Raw,56.0,83.1,90,86.18,38.56,102.06,226.8,1,203.35
0,Alexis Eliopoulos,F,Wraps,30.0,88.36,90,174.63,122.47,195.04,492.14,1,428.59
0,Shannon Nash,F,Raw,44.0,83.64,90,113.45228802389946,165.56,133.87771799783457,165.56,1,147.95
0,Paula Bowers,F,Wraps,34.0,94.8,90+,74.84,47.63,92.99,215.46,1,182.5
0,Kevin Gingerich,M,Raw,32.0,71.94,75,154.22,115.67,183.7,453.59,2,333.01
0,Juan Bollo,M,Raw,20.0,70.67,75,163.29,111.13,204.12,478.54,1,356.03
0,James McManus,M,Wraps,36.0,74.93,75,206.24408278803028,142.55961046395146,227.6014283242196,473.8824161373008,DQ,306.3876806211076
0,James McManus,M,Raw,36.0,74.93,75,206.24408278803028,115.67,156.49,272.16,1,194.06
0,Scott Faircloth,M,Wraps,27.0,71.3,75,181.44,99.79,188.24,469.47,1,346.96
0,Justin Monk,M,Raw,22.0,79.65,82.5,161.03,127.01,197.31,485.35,2,332.27
0,Kevin Londe,M,Raw,23.0,80.1,82.5,190.51,120.2,231.33,542.04,1,369.76
0,Brandon Plyler,M,Wraps,27.0,76.66,82.5,165.56,124.74,201.85,492.15,1,345.47
0,Scott Terry,M,Multi-ply,49.0,79.11,82.5,254.01,131.54,219.99,605.54,1,416.35
0,Matt Borquez,M,Wraps,28.0,81.47,82.5,258.55,174.63,240.4,673.58,1,454.68
0,Michael Mahaffey,M,Raw,42.0,81.92,82.5,233.6,154.22,247.21,635.03,1,427.22
0,Michael Mahaffey,M,Raw,42.0,81.92,82.5,233.6,154.22,247.21,635.03,1,427.22
0,Tanner Huntley,M,Raw,21.0,86.55,90,206.38,115.67,260.82,582.87,1,379.87
0,Corey McManus,M,Raw,40.0,88.54,90,215.46,192.78,251.74,659.98,1,424.91
0,Jake Reed,M,Wraps,23.0,88.9,90,233.6,142.88,256.28,632.76,2,406.52
0,Randy Rabon,M,Wraps,28.0,88.99,90,206.24408278803028,142.55961046395146,227.6014283242196,473.8824161373008,DQ,306.3876806211076
0,Randy Rabon,M,Raw,28.0,88.99,90,206.24408278803028,165.56,247.21,412.77,1,265.04
0,Dallas Norris,M,Wraps,35.0,89.81,90,351.53,176.9,292.57,821.0,1,524.69
0,Marty West,M,Wraps,39.0,89.9,90,226.8,142.55961046395146,227.6014283242196,473.8824161373008,DQ,306.3876806211076
0,Jacob Hunt,M,Wraps,17.0,89.81,90,158.76,106.59,192.78,458.13,1,292.78
